timestamp,date,hour,weekday,symbol,timeframe,raw_signal,decision,allowed,passed_checks,total_checks,failed_checks,n_failed_checks,confidence_pre_penalty,confidence_post_penalty,effective_min_confidence,entry_quality_penalty,entry_quality_failed_checks,entry_price,sl,tp,lot,risk_approved,risk_reject_reason,spread,session_regime,signal_source_module_votes,outcome
2026-08-10T11:14:06.887713+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,16,12,,0,63.4,42.4,55.0,21,sl_swing_anchor;tp_structure_validation;rejection_psychology,UNKNOWN,1.16871,1.17447,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:14:29.889751+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,16,12,,0,65.0,44.0,55.0,21,sl_swing_anchor;tp_structure_validation;rejection_psychology,UNKNOWN,1.16846,1.17407,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:14:52.387699+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,16,12,,0,65.0,44.0,55.0,21,sl_swing_anchor;tp_structure_validation;rejection_psychology,UNKNOWN,1.16857,1.174,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:15:14.764066+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,15,12,S/R zone alignment,1,65.4,39.400000000000006,55.0,26,sl_swing_anchor;tp_structure_validation;indecision_candles;rejection_psychology,UNKNOWN,1.16844,1.17375,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:15:37.199646+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,16,12,,0,62.9,49.9,55.0,13,sl_swing_anchor;indecision_candles;rejection_psychology,UNKNOWN,1.16836,1.1734,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:15:57.019235+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,16,12,,0,61.2,40.2,55.0,21,sl_swing_anchor;tp_structure_validation;rejection_psychology,UNKNOWN,1.16899,1.174,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:16:12.005858+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,16,12,,0,60.4,39.4,55.0,21,sl_swing_anchor;tp_structure_validation;rejection_psychology,UNKNOWN,1.16958,1.1745,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:16:12.301791+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,4,5,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,0.0,0.0,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:16:12.596693+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,4,5,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,0.0,0.0,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:16:12.828424+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,4,5,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,0.0,0.0,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:16:13.163177+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,4,5,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,0.0,0.0,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
