timeframe,pattern,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
H1,Three Outside Down,18,12,6,0,0.6667,0.4375,0.8372,0.3333,1.0,0.3333,-0.1111,0.7778,2.0,-2.0,2,False,False,False,True,
H1,Three Outside Up,26,15,11,0,0.5769,0.3895,0.7446,0.1538,1.0,0.1538,-0.2308,0.5385,1.3636,-4.0,4,False,False,False,True,
H1,Three Inside Up,14,6,8,0,0.4286,0.2138,0.6741,-0.1429,-1.0,-0.1429,-0.5714,0.4286,0.75,-4.0,3,False,False,False,True,
H1,Upside Gap Two Crows,9,3,6,0,0.3333,0.1206,0.6458,-0.3333,-1.0,-0.3333,,,0.5,-4.0,4,False,False,False,True,
H1,Three Inside Down,17,10,7,0,0.5882,0.3601,0.7839,0.1765,1.0,0.1765,-0.2941,0.6471,1.4286,-2.0,2,False,False,False,True,
H1,Bearish Harami,11,5,6,0,0.4545,0.2127,0.7199,-0.0909,-1.0,-0.0909,-0.6364,0.4545,0.8333,-3.0,3,False,False,False,True,
H1,Bullish Harami,12,9,3,0,0.75,0.4677,0.9111,0.5,1.0,0.5,-0.0,1.0,3.0,-1.0,1,False,False,False,True,
H4,Three White Soldiers,99,49,48,2,0.4949,0.3985,0.5918,,,,,,1.0208,,5,True,False,False,False,
H4,Hanging Man,27,17,10,0,0.6296,0.4423,0.7847,0.2593,1.0,0.2593,-0.1111,0.6296,1.7,-3.0,3,False,False,False,True,
H4,Bullish Kicker,123,62,60,1,0.5041,0.4169,0.591,,,,,,1.0333,,7,True,True,False,False,
H4,Bullish Counterattack,41,17,23,1,0.4146,0.2776,0.5663,,,,,,0.7391,,9,True,False,False,False,
H4,Shooting Star,27,12,15,0,0.4444,0.2759,0.6269,-0.1111,-1.0,-0.1111,-0.4815,0.2593,0.8,-8.0,8,False,False,False,True,
H4,Three Inside Up,2,2,0,0,1.0,0.3424,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
H4,Dark Cloud Cover,26,16,10,0,0.6154,0.4253,0.7757,0.2308,1.0,0.2308,-0.1538,0.6154,1.6,-4.0,4,False,False,False,True,
H4,Three Black Crows,98,45,52,1,0.4592,0.3639,0.5575,,,,,,0.8654,,6,True,False,False,False,
H4,Hammer,28,12,15,1,0.4286,0.2651,0.6093,-0.0893,-1.0,-0.0893,-0.4464,0.2857,0.8334,-5.0,4,False,False,False,True,
H4,Morning Star,29,18,11,0,0.6207,0.44,0.7731,0.2414,1.0,0.2414,-0.1034,0.5862,1.6364,-3.0,3,False,False,False,True,
H4,Three Outside Down,12,6,6,0,0.5,0.2538,0.7462,-0.0,-0.0,-0.0,-0.5,0.5,1.0,-4.0,3,False,False,False,True,
H4,Bearish Harami,7,6,1,0,0.8571,0.4869,0.9743,0.7143,1.0,0.7143,,,6.0,-1.0,1,False,False,False,True,
H4,Three Outside Up,9,7,2,0,0.7778,0.4526,0.9368,0.5556,1.0,0.5556,,,3.5,-1.0,1,False,False,False,True,
H4,Bullish Separating Lines,7,6,1,0,0.8571,0.4869,0.9743,0.7143,1.0,0.7143,,,6.0,-1.0,1,False,False,False,True,
H4,Bearish Separating Lines,12,4,8,0,0.3333,0.1381,0.6094,-0.3333,-1.0,-0.3333,-0.8333,0.1667,0.5,-6.0,6,False,False,False,True,
H4,Bullish Harami,3,0,3,0,0.0,0.0,0.5615,-1.0,-1.0,-1.0,,,0.0,-2.0,3,False,False,False,True,
H4,Upside Gap Two Crows,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
H4,Three Inside Down,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
