pattern,session,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
Bearish Counterattack,asian,153,80,72,1,0.5229,0.4441,0.6005,,,,,,1.1111,,6,True,True,False,False,
Evening Star,london,60,28,31,1,0.4667,0.3463,0.5911,,,,,,0.9032,,5,True,False,False,False,
Shooting Star,london_ny_overlap,26,16,10,0,0.6154,0.4253,0.7757,0.2308,1.0,0.2308,-0.1538,0.6154,1.6,-4.0,3,False,False,False,True,
Three Outside Up,new_york,20,16,4,0,0.8,0.584,0.9193,0.6,1.0,0.6,0.2,0.9,4.0,-2.0,2,False,False,False,True,
Three White Soldiers,asian,415,216,197,2,0.5205,0.4724,0.5681,,,,,,1.0964,,11,True,True,True,False,
Three Inside Up,new_york,8,5,3,0,0.625,0.3057,0.8632,0.25,1.0,0.25,,,1.6667,-2.0,2,False,False,False,True,
Three Inside Up,london,6,5,1,0,0.8333,0.4365,0.9699,0.6667,1.0,0.6667,,,5.0,-1.0,1,False,False,False,True,
Bullish Counterattack,new_york,89,44,44,1,0.4944,0.3929,0.5963,,,,,,1.0,,5,True,False,False,False,
Bearish Harami,asian,15,9,6,0,0.6,0.3575,0.8018,0.2,1.0,0.2,-0.3333,0.7333,1.5,-3.0,2,False,False,False,True,
Three Black Crows,new_york,209,95,113,1,0.4545,0.3885,0.5223,,,,,,0.8407,,7,True,True,False,False,
Bullish Separating Lines,london_ny_overlap,20,7,13,0,0.35,0.1812,0.5671,-0.3,-1.0,-0.3,-0.7,0.1,0.5385,-5.0,3,False,False,False,True,
Bearish Separating Lines,london,26,14,12,0,0.5385,0.3546,0.7124,0.0769,1.0,0.0769,-0.3077,0.4615,1.1667,-4.0,4,False,False,False,True,
Bullish Separating Lines,london,27,14,13,0,0.5185,0.3399,0.6926,0.037,1.0,0.037,-0.3333,0.4074,1.0769,-5.0,4,False,False,False,True,
Upside Gap Two Crows,london,9,4,5,0,0.4444,0.1888,0.7334,-0.1111,-1.0,-0.1111,,,0.8,-3.0,2,False,False,False,True,
Upside Gap Two Crows,asian,18,9,9,0,0.5,0.2903,0.7097,-0.0,-0.0,-0.0,-0.4444,0.4444,1.0,-3.0,3,False,False,False,True,
Hammer,asian,116,55,60,1,0.4741,0.3856,0.5644,,,,,,0.9167,,8,True,True,False,False,
Upside Gap Two Crows,new_york,11,4,7,0,0.3636,0.1517,0.6462,-0.2727,-1.0,-0.2727,-0.8182,0.2727,0.5714,-5.0,4,False,False,False,True,
Bullish Harami,asian,18,10,8,0,0.5556,0.3372,0.7544,0.1111,1.0,0.1111,-0.3333,0.5556,1.25,-3.0,3,False,False,False,True,
Upside Gap Two Crows,london_ny_overlap,4,2,2,0,0.5,0.15,0.85,-0.0,-0.0,-0.0,,,1.0,-1.0,1,False,False,False,True,
Three Outside Down,london_ny_overlap,9,4,5,0,0.4444,0.1888,0.7334,-0.1111,-1.0,-0.1111,,,0.8,-2.0,2,False,False,False,True,
Three Outside Up,london,27,16,11,0,0.5926,0.4073,0.7549,0.1852,1.0,0.1852,-0.1852,0.5556,1.4545,-2.0,2,False,False,False,True,
Inverted Hammer,london_ny_overlap,27,10,17,0,0.3704,0.2153,0.5577,-0.2593,-1.0,-0.2593,-0.6296,0.1111,0.5882,-7.0,6,False,False,False,True,
Morning Star,london_ny_overlap,29,14,15,0,0.4828,0.3139,0.6557,-0.0345,-1.0,-0.0345,-0.3793,0.3103,0.9333,-8.0,6,False,False,False,True,
Bullish Harami,london_ny_overlap,5,0,5,0,0.0,-0.0,0.4345,-1.0,-1.0,-1.0,,,0.0,-4.0,5,False,False,False,True,
Three Inside Down,asian,16,11,5,0,0.6875,0.444,0.8584,0.375,1.0,0.375,-0.125,0.75,2.2,-1.0,1,False,False,False,True,
Evening Star,london_ny_overlap,28,16,12,0,0.5714,0.3907,0.7349,0.1429,1.0,0.1429,-0.2143,0.5,1.3333,-3.0,2,False,False,False,True,
Three Outside Down,new_york,17,10,7,0,0.5882,0.3601,0.7839,0.1765,1.0,0.1765,-0.2941,0.6471,1.4286,-2.0,2,False,False,False,True,
Bearish Harami,london,6,4,2,0,0.6667,0.3,0.9032,0.3333,1.0,0.3333,,,2.0,-1.0,1,False,False,False,True,
Three Outside Down,london,19,11,8,0,0.5789,0.3628,0.7686,0.1579,1.0,0.1579,-0.2632,0.5789,1.375,-3.0,2,False,False,False,True,
Bullish Harami,new_york,4,3,1,0,0.75,0.3006,0.9544,0.5,1.0,0.5,,,3.0,0.0,1,False,False,False,True,
Three Inside Up,london_ny_overlap,4,1,3,0,0.25,0.0456,0.6994,-0.5,-1.0,-0.5,,,0.3333,-1.0,2,False,False,False,True,
Three Inside Down,london_ny_overlap,6,2,4,0,0.3333,0.0968,0.7,-0.3333,-1.0,-0.3333,,,0.5,-3.0,3,False,False,False,True,
Dark Cloud Cover,london_ny_overlap,27,14,13,0,0.5185,0.3399,0.6926,0.037,1.0,0.037,-0.3333,0.4074,1.0769,-4.0,3,False,False,False,True,
Three Inside Down,london,8,6,2,0,0.75,0.4093,0.9285,0.5,1.0,0.5,,,3.0,-1.0,1,False,False,False,True,
Bearish Harami,new_york,8,4,4,0,0.5,0.2152,0.7848,-0.0,-0.0,-0.0,,,1.0,-3.0,3,False,False,False,True,
Bearish Harami,london_ny_overlap,5,4,1,0,0.8,0.3755,0.9638,0.6,1.0,0.6,,,4.0,-1.0,1,False,False,False,True,
Bullish Harami,london,6,2,4,0,0.3333,0.0968,0.7,-0.3333,-1.0,-0.3333,,,0.5,-4.0,4,False,False,False,True,
Three Outside Up,london_ny_overlap,6,2,4,0,0.3333,0.0968,0.7,-0.3333,-1.0,-0.3333,,,0.5,-4.0,4,False,False,False,True,
